uid	category	severity	reasons	src_noisy	hyp_noisy
B-PYA-071	PYA	58.89	xcomet/kiwi Δ disagree by 58.9	xswl一人血书求这个短剧拍真人版	"""One person's blood letter seeks to have this short play adapted into a live-action version."""
B-MIX-132	MIX	44.99	xcomet/kiwi Δ disagree by 45.0	天磊：what can I say	Tianlei: What can I say?
B-PYA-046	PYA	44.95	xcomet/kiwi Δ disagree by 45.0	这吧里xfxy的，天天吵架	It's chaotic here, they argue every day.
B-PYA-076	PYA	41.18	xcomet/kiwi Δ disagree by 41.2; xcomet_noisy 95.9 but NTA miss	xswl皇帝的新衣	The Emperor's New Clothes
B-NEO-034	NEO	40.94	xcomet/kiwi Δ disagree by 40.9	梅老板今年真可怜，这么强的个人发挥啥没有得到	The boss of Mei is really pitiful this year; despite her strong personal performance, she didn't get anything.
B-PYA-081	PYA	38.40	xcomet/kiwi Δ disagree by 38.4	氪金也能让各家fs满意	"""Rubies can also satisfy each house.""

Note: ""氪金"" (rújīn) is a term often used in gaming contexts, referring to a premium in-game currency, and ""各家fs"" (gè jiā fūs) is likely a shorthand for ""each house's followers"" or ""each faction's satisfaction."""
B-NEO-067	NEO	36.58	xcomet/kiwi Δ disagree by 36.6	摆烂了，爱咋咋地	"""Play it by ear.""

Note: The original Chinese phrase ""摆烂了，爱咋咋地"" literally translates to ""go with the flow, do whatever,"" which is approximated in the English translation."
B-HOM-090	HOM	36.53	xcomet/kiwi Δ disagree by 36.5	香精煎鱼食不食	"The translation of ""香精煎鱼食不食"" into English is: ""Fried fish with fragrant essence: to eat or not to eat?"""
B-HOM-035	HOM	35.26	xcomet/kiwi Δ disagree by 35.3	看到50亿离婚案的消息我直接蓝瘦香菇	Hearing the news of 500 million divorce cases, I feel blue and depressed.
B-PYA-051	PYA	33.21	xcomet/kiwi Δ disagree by 33.2; xcomet_noisy 92.7 but NTA miss	tcl，我真的太菜了	"""tcl, I'm really bad at this."""
B-HOM-120	HOM	32.85	xcomet/kiwi Δ disagree by 32.9	果然混元是个妹纸	"Sure, here is the translation: ""Indeed, Huanyuan is a cute girl.""

Note: ""妹纸"" (mèi zhǐ) is a colloquial term in Chinese that roughly translates to ""cute girl"" or ""little sister."""
B-NEO-084	NEO	31.83	xcomet/kiwi Δ disagree by 31.8; xcomet_noisy 80.4 but NTA miss	基操	"The translation of ""基操"" into English is ""basic operations"" or ""fundamental operations."""
