uid	category	severity	reasons	src_noisy	hyp_noisy
A-NEO-068	NEO	49.27	xcomet/kiwi Δ disagree by 49.3	借楼蹲！！！	Lend me a building to squat in!!!
A-PYA-002	PYA	45.63	xcomet/kiwi Δ disagree by 45.6	350 q安	350 qA
A-MIX-003	MIX	35.48	xcomet/kiwi Δ disagree by 35.5	erguotou二锅头[doge]	Erguotou Erguotou [Doge]
A-HOM-009	HOM	32.19	xcomet/kiwi Δ disagree by 32.2	国际大厦比	The International Building is bigger than...
A-NEO-199	NEO	31.03	xcomet/kiwi Δ disagree by 31.0	吉隆坡超级无敌避雷的点！	The super awesome and lightning-proof spot in Kuala Lumpur!
A-NEO-062	NEO	30.22	xcomet/kiwi Δ disagree by 30.2	蹲蹲拼320的	Squat and spell “320”.
A-NEO-016	NEO	29.95	xcomet/kiwi Δ disagree by 30.0	3.0下配套的限时常驻自选池子呀	The limited-time permanent custom pool that comes with version 3.0, yeah!
A-NEO-033	NEO	29.89	xcomet/kiwi Δ disagree by 29.9	人不开心，也要咪哄	If someone is not happy, don’t try to coax them.
A-NEO-010	NEO	29.44	xcomet/kiwi Δ disagree by 29.4	多的不说，给我中中中	Without going into too much detail, just pick one for me… the middle one.
A-NEO-009	NEO	28.14	xcomet/kiwi Δ disagree by 28.1	交?已关[doge]	Closed? [Doge]
A-MIX-029	MIX	26.05	xcomet/kiwi Δ disagree by 26.1	#ENFJ型人格	#ENFJ Personality Type
A-NEO-082	NEO	25.68	xcomet/kiwi Δ disagree by 25.7	天天收藏，从未开始	Added to favorites every day… but it was never started.
A-NEO-056	NEO	24.70	xcomet/kiwi Δ disagree by 24.7	②没了哦，其他私	② That’s it; no more private information.
A-MIX-001	MIX	24.12	xcomet/kiwi Δ disagree by 24.1	K宝，冰上的精灵	K Bao, the fairy on the ice
A-NEO-206	NEO	23.88	xcomet/kiwi Δ disagree by 23.9	闭眼剪都好看的男生夏天短发	Men with good looks, even when they cut their hair with their eyes closed, look great in short hairstyles for summer.
A-NEO-180	NEO	23.42	xcomet/kiwi Δ disagree by 23.4	搬运翻译玄鸡的趣图	Funny pictures of transporting the mythical “Xuanji” (a mythical bird or creature)
A-NEO-027	NEO	22.80	xcomet/kiwi Δ disagree by 22.8	卡皮巴拉土豆豚12星座插画头像表情包原创	Original Capibara, Potato, and Pig 12 Zodiac Illustration Avatars and Emoticons Pack
A-HOM-012	HOM	22.71	xcomet/kiwi Δ disagree by 22.7	蟹蟹宝宝夸奖	The little crab babies are giving praise!
A-NEO-141	NEO	22.55	xcomet/kiwi Δ disagree by 22.5	P人勇闯韩国首尔！3天2晚保姆级攻略	P people bravely venture into Seoul, South Korea! A detailed 3-day/2-night guide, designed with the care of a nanny…
A-PYA-008	PYA	22.23	xcomet/kiwi Δ disagree by 22.2	说 WOC 和 NB 欢迎来中国旅游和交朋友	Saying that WOC (Women of Color) and NB (Non-Binary People) are welcome to travel to China and make friends there…
A-MIX-002	MIX	21.97	xcomet/kiwi Δ disagree by 22.0; xcomet_noisy 83.4 but NTA miss	图fine秒mine[doge]	Image: fine seconds mine [doge]
A-NEO-046	NEO	21.88	xcomet/kiwi Δ disagree by 21.9	接接接 借你吉言	Thank you for your kind words!
A-NEO-072	NEO	21.44	xcomet/kiwi Δ disagree by 21.4	什么刀子都有[doge]	There are all kinds of knives [doge]
A-MIX-040	MIX	20.81	xcomet/kiwi Δ disagree by 20.8	小wieiad vlog 🖤	Little Wieiad’s Vlog 🖤
A-HOM-010	HOM	20.67	xcomet/kiwi Δ disagree by 20.7	啊啊啊啊给青兰ee吃	Ahhhh, give it to Qinglan ee to eat!
A-NEO-043	NEO	20.15	xcomet/kiwi Δ disagree by 20.1	敦门永恒！	Dunmen will live forever!
A-NEO-157	NEO	20.09	xcomet/kiwi Δ disagree by 20.1	妈耶🆘神仙阵容‼️孙艺珍❌池昌旭新剧爱了🔥	Mommy Yay 🆘 What an amazing cast! Son Ye-jin ❌ I’m totally in love with Chi Chang-hoo’s new drama 🔥
A-PYA-009	PYA	20.02	xcomet/kiwi Δ disagree by 20.0	还是得看对口白话 对口白话兄弟yyds	It still depends on the specific dialogue. For the dialogue, brother, you’re the best (yyds stands for “you’re the dude” or a similar expression of admiration).
A-HOM-017	HOM	18.29	xcomet_noisy 86.5 but NTA miss	这就是史	This is history.
A-MIX-044	MIX	18.21	xcomet_noisy 84.6 but NTA miss	想大海和sun kissed life	I long for the sea and the sun to “kiss” life…
A-NEO-060	NEO	17.82	xcomet_noisy 82.5 but NTA miss	老外来之前不给我推这种视频	Don’t push me with these videos before the foreigner arrives.
A-NEO-145	NEO	17.36	xcomet_noisy 83.6 but NTA miss	这个建构我是真整不了一点	I really can’t do anything with this construction at all.
A-PYA-015	PYA	17.29	xcomet_noisy 90.6 but NTA miss	已关注qiu fen xiang	I have followed qiu fen xiang.
A-NEO-236	NEO	17.21	xcomet_noisy 88.2 but NTA miss	全是大漏勺	They’re all total leakers.
A-NEO-014	NEO	16.61	xcomet_noisy 85.0 but NTA miss	蹲了很久[doge]	I’ve been squatting for a really long time [doge]
A-NEO-005	NEO	15.88	xcomet_noisy 90.0 but NTA miss	割肉？22年1.1买的，1.7算割肉吗	Selling at a loss? I bought it on January 1, 2022; would selling it for $1.7 be considered a loss?
A-NEO-090	NEO	14.03	xcomet_noisy 91.4 but NTA miss	永远抄底	Always buy at the lowest possible price (i.e., “always catch the bottom” of the market).
A-NEO-015	NEO	13.93	xcomet_noisy 80.2 but NTA miss	蹲蹲哈哈	Squat, squat, haha!
A-NEO-065	NEO	13.91	xcomet_noisy 84.5 but NTA miss	19配 35/1	19 paired with 35/1
A-PYA-004	PYA	13.68	xcomet_noisy 86.8 but NTA miss	好可爱cpdd...	So cute, cpdd…
A-NEO-186	NEO	12.71	xcomet_noisy 87.2 but NTA miss	干货🔥一次带你搞懂修容和古铜	Essential tips 🔥 Understand contouring and bronzing in one go
A-NEO-099	NEO	12.34	xcomet_noisy 89.9 but NTA miss	哈哈哈哈那个 阿拉斯加的眼神 笑死我了	Hahahaha, that look from Alaska… It’s absolutely hilarious!
A-NEO-067	NEO	12.29	xcomet_noisy 84.5 but NTA miss	包姜晓的呀[doge]	It’s the one with Jiang Xiao on it [doge]
A-NEO-133	NEO	12.23	xcomet_noisy 83.9 but NTA miss	今日份晒澳白珍珠戒指	Today’s selection: a pair of white pearl rings with a matte finish.
A-NEO-041	NEO	12.13	xcomet_noisy 89.5 but NTA miss	老师我也想要你	Teacher, I also want you.
A-NEO-253	NEO	11.60	xcomet_noisy 84.1 but NTA miss	知道为什么他父母接受他是0还配合拍视频吗 原因竟是...	Do you know why his parents accepted the fact that he got a score of 0 and even cooperated in making the video? The reason is actually…
A-NEO-042	NEO	11.40	xcomet_noisy 85.8 but NTA miss	第二捏~欢迎欢迎	The second pinch~ Welcome, welcome!
A-HOM-013	HOM	10.88	xcomet_noisy 90.1 but NTA miss	啊！谢谢劳斯！	Ah! Thank you, Ross!
