uid	category	severity	reasons	src_noisy	hyp_noisy
A-NEO-069	NEO	50.67	xcomet/kiwi Δ disagree by 50.7	我！要！原！图！关啦	I want to, I want to, I want to, I want to.
A-NEO-086	NEO	47.04	xcomet/kiwi Δ disagree by 47.0	我可以用左脚踩右脚，再用右脚踩左脚，一直踩到天空！	I can step on my right foot with my left foot, and then step on my right foot with my left foot, and I can step on my left foot with my right foot, and then step on my right foot with my left foot, and I can step on my left foot, and then I can step on my right foot with my right foot, and then I can step on my left foot, and then I can step on my right foot, and then I can step on my left foot, and then I can step on my right foot, and then I can step on my left foot, and then I can step on my right foot, and then I can step on my left foot, and then I can step on my left foot, and then I can step on my left foot, and then I can step on my left foot, and then I can step on my left foot, and then I can step on the sky!
A-NEO-060	NEO	43.75	xcomet/kiwi Δ disagree by 43.8	老外来之前不给我推这种视频	I'm not going to be able to post this video until my wife comes.
A-PYA-015	PYA	43.65	xcomet/kiwi Δ disagree by 43.7	已关注qiu fen xiang	Qiu fen xiang has been the subject of attention.
A-NEO-067	NEO	42.21	xcomet/kiwi Δ disagree by 42.2	包姜晓的呀[doge]	The doge is a very famous person.
A-HOM-012	HOM	41.76	xcomet/kiwi Δ disagree by 41.8	蟹蟹宝宝夸奖	The award is given to the best children's book.
A-HOM-008	HOM	41.58	xcomet/kiwi Δ disagree by 41.6	哈雷哈雷，欢迎欢迎热烈欢迎	Harle Harle, welcome, welcome, welcome, welcome, and welcome to the world of the Internet.
A-NEO-078	NEO	40.16	xcomet/kiwi Δ disagree by 40.2	一次牛油果没吃过的有没有，吃过的朋友告诉我是什么味道，我脑补一下	I've been to a lot of places, but I've never had a peanut before, and if a friend of mine who has, tells me what it tastes like, I'll fill my head with it.
A-NEO-014	NEO	38.49	xcomet/kiwi Δ disagree by 38.5; xcomet_noisy 93.7 but NTA miss	蹲了很久[doge]	It's been a long time.
A-NEO-007	NEO	38.28	xcomet/kiwi Δ disagree by 38.3	巴拉巴拉说的啥	The story of the mummy told by Barbara
A-NEO-016	NEO	36.33	xcomet/kiwi Δ disagree by 36.3	3.0下配套的限时常驻自选池子呀	The 3.0 support is limited to the pool of your choice.
A-NEO-243	NEO	36.23	xcomet/kiwi Δ disagree by 36.2	约好在莱山上海滩附近贸易，当打开酒盖后，整个人麻了。怎么办？	The next day, the two men were in a bar near the beach in Lausanne, and when they opened the lid, they were paralyzed.
A-NEO-040	NEO	36.16	xcomet/kiwi Δ disagree by 36.2	宝接昼吗	Does the baby have lunch?
A-NEO-018	NEO	36.02	xcomet/kiwi Δ disagree by 36.0	老六，666	What Does the Bible Really Teach?
A-HOM-006	HOM	34.50	xcomet/kiwi Δ disagree by 34.5	马牙，谢谢劳斯🥺❤️❤️❤️	Thank you, Maya, thank you, Ros!
A-NEO-009	NEO	34.38	xcomet/kiwi Δ disagree by 34.4	交?已关[doge]	The exchange is closed.
A-NEO-043	NEO	33.96	xcomet/kiwi Δ disagree by 34.0	敦门永恒！	The city is eternal!
A-NEO-082	NEO	33.87	xcomet/kiwi Δ disagree by 33.9; xcomet_noisy 83.0 but NTA miss	天天收藏，从未开始	The daily collection never began
A-NEO-051	NEO	33.24	xcomet/kiwi Δ disagree by 33.2	番禺 我司招聘前台。真实有效。🉑️滴滴	I'm a good person, I'm a good person, I'm a good person, I'm a good person, I'm a good person, I'm a good person, I'm a good person, I'm a good person, I'm a good person, I'm a good person, I'm a good person, I'm a good person, I'm a good person, I'm a good person, I'm a good person, I'm a good person, I'm a good person, I'm a good person, I'm a good person, I'm not going to be a bad person, I'm not going to be a bad person, I'm not going to be a bad person.
A-NEO-063	NEO	32.74	xcomet/kiwi Δ disagree by 32.7; xcomet_noisy 82.7 but NTA miss	ruby蹲蹲	Ruby shells
A-NEO-065	NEO	31.40	xcomet/kiwi Δ disagree by 31.4	19配 35/1	Why the Bible Is Not a Book? 3/1
A-PYA-004	PYA	30.90	xcomet/kiwi Δ disagree by 30.9	好可爱cpdd...	I'm not sure what to do.
A-NEO-169	NEO	30.85	xcomet/kiwi Δ disagree by 30.9	🇯🇵 京都美食攻略 不踩雷 😋！	The food strategy in Kyoto is not to be trifled with 😋!
A-MIX-044	MIX	30.46	xcomet/kiwi Δ disagree by 30.5	想大海和sun kissed life	Think of the sea and sun kissed life
A-NEO-110	NEO	29.94	xcomet/kiwi Δ disagree by 29.9	灭火器拿来出来就这样放在地上然后看着那个火继续烧，什么神操作？	And then you take the fire extinguisher out and you put it on the ground and you watch the fire go on burning, what does God do?
