uid	category	severity	reasons	src_noisy	hyp_noisy
A-NEO-236	NEO	50.65	xcomet/kiwi Δ disagree by 50.6	全是大漏勺	It's a complete mess.
A-MIX-025	MIX	40.41	xcomet/kiwi Δ disagree by 40.4	“我是ENTP”接下来，生成一朵关于它的花：	"""I am an ENTP""

**Flower Representation:**

Imagine a vibrant sunflower, its bright yellow petals symbolizing the ENTP's radiant personality and boundless energy. The sturdy stem represents their logical yet flexible approach to problem-solving, while the seeds within embody their curiosity and desire to explore endless possibilities. Each petal, like an ENTP's thought, is unique and intricate, reflecting their diverse interests and creative problem-solving skills."
A-HOM-009	HOM	37.82	xcomet/kiwi Δ disagree by 37.8	国际大厦比	The International Tower is taller.
A-PYA-014	PYA	36.51	xcomet/kiwi Δ disagree by 36.5	a萍五官挺好的	"""A person's five senses are quite good."""
A-NEO-007	NEO	33.39	xcomet/kiwi Δ disagree by 33.4	巴拉巴拉说的啥	"""What does Barabar say?"""
A-MIX-044	MIX	32.78	xcomet/kiwi Δ disagree by 32.8; xcomet_noisy 90.4 but NTA miss	想大海和sun kissed life	"""Wishing for a life kissed by the sun and the sea."""
A-NEO-011	NEO	31.81	xcomet/kiwi Δ disagree by 31.8	五！老！师！我！想！你！了！	Five! Old! Teacher! I! Miss! You!
A-MIX-006	MIX	30.89	xcomet/kiwi Δ disagree by 30.9	请你说英语，speeekyingyu	Please speak English.
A-NEO-233	NEO	30.38	xcomet/kiwi Δ disagree by 30.4	吃瓜吃到自己身上……	"""Eating the melon and getting it on oneself...""

This phrase is a Chinese idiom that metaphorically describes a situation where someone becomes involved in or affected by something they initially had no intention of engaging with."
A-PYA-002	PYA	28.85	xcomet/kiwi Δ disagree by 28.9	350 q安	"350 qan (This appears to be a term specific to a context, possibly related to units of measurement or currency, as ""qan"" isn't a standard term in English. Without additional context, a literal translation might not convey the intended meaning accurately.)"
A-PYA-011	PYA	28.36	xcomet/kiwi Δ disagree by 28.4	💙15w左右女生建议入手的BBA二手车	"""Recommended for girls around 15 weeks pregnant to consider purchasing: a used BBA car."""
A-NEO-014	NEO	28.11	xcomet/kiwi Δ disagree by 28.1	蹲了很久[doge]	"""蹲了很久"" translates to ""sat/squatted for a long time"" in English. The ""[doge]"" part seems to be an emoticon or a reference to a popular internet meme, but it doesn't change the meaning of the sentence. So the complete translation would be: ""Sat/Squatted for a long time [doge]"""
A-NEO-029	NEO	28.03	xcomet/kiwi Δ disagree by 28.0	已私，求图，谢谢	"Please provide the context or the original language of the sentence for accurate translation. However, based on the characters you've provided, the sentence ""已私，求图，谢谢"" appears to be a mix of Chinese and possibly a typo. A possible interpretation could be:

""Already private, request diagram, thank you.""

For a more precise translation, please provide the complete and correct sentence."
A-NEO-018	NEO	26.70	xcomet/kiwi Δ disagree by 26.7	老六，666	Old Six, 666
A-NEO-065	NEO	26.52	xcomet/kiwi Δ disagree by 26.5	19配 35/1	19 to 35/1
A-NEO-053	NEO	25.63	xcomet/kiwi Δ disagree by 25.6	我我我蹲蹲蹲	"The translation of ""我我我蹲蹲蹲"" into English is: ""I, I, I squat, squat, squat."""
A-MIX-052	MIX	25.38	xcomet/kiwi Δ disagree by 25.4	轻松熊ascii art⊹ ࣪𓍢ִ໋⋆🍰ೀ⋆	Relaxed Bear ASCII art 🍰🌟
A-MIX-040	MIX	25.23	xcomet/kiwi Δ disagree by 25.2	小wieiad vlog 🖤	Small vlog 🖤
A-MIX-027	MIX	24.91	xcomet/kiwi Δ disagree by 24.9	像ins偷了喧嚣的毛	"""像ins偷了喧嚣的毛"" translates to ""As if ins stole the noise fur.""

Please note that this translation is literal and may not make complete sense in English, as the original sentence appears to be a creative or metaphorical expression."
A-NEO-009	NEO	24.07	xcomet/kiwi Δ disagree by 24.1	交?已关[doge]	"""交?已关"" translates to ""Communication? Closed"" in English. 

Note: ""[doge]"" seems like a placeholder or an error in the original text. If ""doge"" refers to a specific term or abbreviation, please provide additional context for a more accurate translation."
A-NEO-152	NEO	23.96	xcomet/kiwi Δ disagree by 24.0	大阪对戒丝滑购入	"The translation of 大阪对戒丝滑购入 into English is:

""Osaka purchased a silk-smooth engagement ring."""
A-HOM-012	HOM	23.82	xcomet/kiwi Δ disagree by 23.8	蟹蟹宝宝夸奖	"""蟹蟹宝宝夸奖"" translates to ""Dearest baby, you are praised.""

Here's a breakdown:
- 蟹蟹 (jī jī) = Dearest
- 宝宝 (bǎo bāo) = Baby
- 夸奖 (kuā zǎng) = Praise"
A-NEO-207	NEO	22.58	xcomet/kiwi Δ disagree by 22.6; xcomet_noisy 92.1 but NTA miss	🇺🇸留子自制巴斯克大成功！	🌟 American student's homemade Basque cake is a huge success! 🌟
A-NEO-004	NEO	22.27	xcomet/kiwi Δ disagree by 22.3	来了中中中	"The sentence ""来了中中中"" translates to ""It came, middle, middle, middle"" in English. However, this translation is quite literal and may not make sense out of context. If the sentence is meant to convey a specific meaning, additional context would be needed for a more accurate translation."
A-NEO-072	NEO	22.05	xcomet/kiwi Δ disagree by 22.1	什么刀子都有[doge]	Any knife has [doge].
A-NEO-020	NEO	21.79	xcomet/kiwi Δ disagree by 21.8	这个❤️是🐴扁	"This ❤️ is 🐴 flat. 

(Note: The original sentence seems to be a playful or nonsensical combination of characters, so the translation maintains the literal but unusual meaning.)"
A-NEO-035	NEO	21.66	xcomet/kiwi Δ disagree by 21.7	蹲蹲，南南新年快乐	"Squat, South South Happy New Year. 

Note: The sentence seems to be a playful or informal mix of Chinese characters and words. ""蹲蹲"" (jù jù) literally means ""squat"" and ""南南"" (nán nán) could be a nickname or a friendly term, similar to ""South South."" The final phrase ""新年快乐"" (xīn nián kuài lè) means ""Happy New Year"" in Mandarin."
A-NEO-082	NEO	21.61	xcomet/kiwi Δ disagree by 21.6; xcomet_noisy 82.6 but NTA miss	天天收藏，从未开始	Collect every day, never start.
A-NEO-055	NEO	21.57	xcomet/kiwi Δ disagree by 21.6	！蹲蹲！	"!""Squat! Squat!"""
A-NEO-097	NEO	21.17	xcomet/kiwi Δ disagree by 21.2	看完 杀面包 来看看我拍的邓紫棋巴黎演唱会吧沉浸式体验哦耶✌️！我会持续更新🇩🇪留学生活欧洲旅游vlog！入股不亏	After watching the bread-making, check out the photos I took at Deng Ziqi's Paris concert - an immersive experience! Yes! ✌️! I'll keep updating my German study life and European travel vlog! Investing is never a loss.
