uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
A-HOM-001	HOM	81.85	91.89	10.04	65.75	78.09	12.33	0	100	100	广0王，我也是	King of Guang, me too.	广陵王，我也是	King of Guangling, so am I.	Prince of Guangling, same here.
A-HOM-002	HOM	92.56	98.36	5.81	83.85	84.63	0.78	0	100	100	3Q 祝你新年快乐 🎊🐍	3Q Wishing you a Happy New Year 🎊🐍	谢谢 祝你新年快乐 🎊🐍	Thank you, wishing you a Happy New Year 🎊🐍	Thanks! Happy New Year 🎊🐍
A-HOM-003	HOM	89.99	97.16	7.17	83.22	84.25	1.03	0	100	100	我的玛雅太美了	My Maya is so beautiful.	我的妈呀太美了	Oh my gosh, it's so beautiful.	Oh my God, mine is so beautiful!
A-HOM-004	HOM	87.35	91.34	3.99	59.45	67.83	8.38	100	100	0	有顺风顺水顺财神的郝性头像吗？	Is there a profile picture with smooth sailing and good fortune for someone with the surname Hao?	有顺风顺水顺财神的郝姓头像吗？	Is there a profile picture with the surname Hao that brings good fortune, smooth sailing, and wealth?	Does anyone have a profile picture with the surname Hao that brings smooth sailing and the God of Wealth?
A-HOM-005	HOM	90.34	91.01	0.67	80.19	80.72	0.52	0	0	0	➗25家政 15洗衣  10洗车	➗25 housekeeping, 15 laundry, 10 car wash	出售25家政 15洗衣  10洗车	Selling 25 housekeeping services, 15 laundry services, 10 car wash services.	Selling: housekeeping 25, laundry 15, car wash 10.
A-HOM-006	HOM	66.14	91.85	25.71	81.55	84.01	2.46	0	0	0	马牙，谢谢劳斯🥺❤️❤️❤️	Maya, thank you Laus 🥺❤️❤️❤️	妈呀，谢谢老师🥺❤️❤️❤️	Oh my, thank you, teacher 🥺❤️❤️❤️	Oh my God, thank you, teacher 🥺❤️❤️❤️
A-HOM-007	HOM	72.97	100.00	27.03	75.11	83.64	8.53	0	100	100	似吧我不拦你	It seems I won't stop you.	死吧我不拦你	Go ahead and die, I won't stop you.	Go die if you want—I won't stop you.
A-HOM-008	HOM	80.46	88.04	7.59	74.41	73.15	-1.25	0	100	100	哈雷哈雷，欢迎欢迎热烈欢迎	Hurray, hurray, welcome, welcome, warmly welcome.	你好你好，欢迎欢迎热烈欢迎	Hello, hello, welcome, welcome, warmly welcome.	Hello, hello—a very warm welcome!
A-HOM-009	HOM	39.85	96.47	56.62	46.62	69.04	22.42	0	0	0	国际大厦比	International Building is more than	国际大傻逼	International big fool	A world-class dumbass.
A-HOM-010	HOM	85.67	91.87	6.20	71.53	74.07	2.54	0	0	0	啊啊啊啊给青兰ee吃	Ahhhhh, give Qinglan something to eat.	啊啊啊啊给青兰阿姨吃	Ah, give Aunt Qinglan something to eat.	Give Auntie Qinglan something to eat!
A-HOM-011	HOM	73.79	77.24	3.45	36.13	68.28	32.15	100	100	0	啊啊啊啊啊豆儿康康我	Ahhhh Dou, look at me.	啊啊啊啊啊豆儿看看我	Ah ah ah ah ah Dou, look at me.	Dou'er, take a look at me!!!
