uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
B-HOM-001	HOM	95.01	90.46	-4.56	55.46	83.93	28.47	0	0	0	酱紫也行？那我也试试	Okay, I'll try that.	这样子也行？那我也试试	Okay? Let me try it.	this works? then let me try too
B-HOM-002	HOM	85.92	93.86	7.95	43.88	74.76	30.88	0	0	0	你怎么酱紫说话，人家会误会的	How do you say that?	你怎么这样子说话，人家会误会的	How do you talk like that?	why do you talk like that, people will misunderstand
B-HOM-003	HOM	94.66	94.77	0.11	80.47	81.83	1.35	0	0	0	各位童鞋注意了，期末考试要来了	Attention, students, the semester exam is coming.	各位同学注意了，期末考试要来了	Attention, students, the semester exam is coming.	attention classmates, final exams are coming
B-HOM-004	HOM	87.95	89.14	1.19	61.81	66.31	4.51	0	0	0	童鞋们帮我看看这道题怎么做	Please help me with this problem.	同学们帮我看看这道题怎么做	Please help me with this problem.	classmates help me figure out this problem
B-HOM-005	HOM	97.92	100.00	2.08	75.05	86.62	11.56	100	100	0	我真的好稀饭这个博主，太搞笑了	I really like this blogger, he's so funny.	我真的好喜欢这个博主，太搞笑了	I really like this blogger, he's so funny.	I really like this creator, too funny
B-HOM-006	HOM	95.64	100.00	4.36	59.90	86.19	26.29	100	100	0	你是不是稀饭我？直说嘛	Do you like me? Just say it.	你是不是喜欢我？直说嘛	Do you like me? Just say it.	do you like me? just say it
B-HOM-007	HOM	81.71	95.02	13.31	61.88	78.96	17.09	0	100	100	今天又是杯具的一天，出门忘带钥匙	Today is another day of glasses, and I forgot to bring my keys out.	今天又是悲剧的一天，出门忘带钥匙	Today is another tragic day, I forgot to bring my keys out.	another tragic day, forgot my keys going out
B-HOM-008	HOM	75.02	99.73	24.72	74.36	82.42	8.06	0	100	100	人生就是一个杯具接着一个杯具	Life is a bucket after a bucket.	人生就是一个悲剧接着一个悲剧	Life is a tragedy after another.	life is one tragedy after another
B-HOM-009	HOM	95.37	90.63	-4.74	64.54	80.47	15.93	0	0	0	游戏过于神金，不确定先从哪里笑起	The game is too funny, I don't know where to start laughing.	游戏过于神经，不确定先从哪里笑起	The game is too nerve-wracking, I don't know where to start laughing.	this game is so unhinged, not sure where to start laughing
B-HOM-010	HOM	72.80	57.81	-14.98	56.37	48.28	-8.09	0	0	0	都说我做饭神金，今天就做神金给你们吃	You say I'm a cooking genius, today I'll make you a genius.	都说我做饭神经，今天就做神经给你们吃	You all say I'm a cook, today I'll cook you a chicken.	y'all say I'm crazy in the kitchen, so today I'm cooking crazy for you
B-HOM-011	HOM	82.32	88.96	6.63	48.23	78.52	30.28	0	0	0	世界上最神金的行为	The most brilliant thing in the world.	世界上最神经的行为	The most nerve-wracking thing in the world.	the most unhinged behavior in the world
B-HOM-012	HOM	75.30	71.42	-3.88	63.29	72.90	9.61	0	0	0	被这离谱的主播笑拥了	I was laughed at by this stupid host.	被这离谱的主播笑晕了	I'm laughing out loud at this stupid host.	I'm dead from this absurd streamer
B-HOM-013	HOM	51.12	74.85	23.74	47.53	62.77	15.24	0	0	0	笑拥了！带货主播推荐的迷惑水果太离谱了吧	笑拥了!带货主播推荐的迷惑水果太离谱了吧	笑晕了！带货主播推荐的迷惑水果太离谱了吧	笑死了!带货主播推荐的迷惑水果太离谱了吧	I’m dying laughing! Those weird fruits promoted by live stream sales hosts are ridiculous.
B-HOM-014	HOM	75.54	76.32	0.78	70.50	73.67	3.17	0	0	0	新来的00后程序员写的代码，看到这段注释真的快把我笑拥了	When I saw this comment from a new 00's programmer, I was almost laughing out loud.	新来的00后程序员写的代码，看到这段注释真的快把我笑晕了	When I saw this comment from a new 00's programmer, I was laughing so hard I couldn't stop laughing.	the new Gen Z programmer's code, seeing this comment almost killed me laughing
B-HOM-016	NEO	71.04	80.05	9.01	47.21	52.34	5.13	0	0	0	考试没复习直接寄，明年再来	考试没复习直接寄,明年再来	考试没复习直接完了，明年再来	考试没复习直接结束,明年再来	didn't study for the exam, it's over, see you next year
B-HOM-018	HOM	45.62	62.52	16.90	31.15	34.58	3.42	0	0	0	火钳流明，这帖子要火	火钳流明,这帖子要火	火前留名，这帖子要火	火前留名,这帖子要火	leaving a name before this blows up, this post is about to go viral
B-HOM-019	HOM	72.65	98.74	26.09	47.51	84.67	37.16	0	0	0	雀食好笑，不骗你	雀食好笑,不骗你	确实好笑，不骗你	It's really funny, I promise.	it's genuinely funny, no cap
B-HOM-021	HOM	97.14	98.03	0.89	82.37	85.00	2.63	0	0	0	沃草，这无人机表演太震撼了	Wow, this drone show was really impressive.	我操，这无人机表演太震撼了	Wow, that drone show was really incredible.	holy crap, this drone show is insane
B-HOM-023	HOM	65.34	66.71	1.38	68.38	58.22	-10.16	0	0	0	你想peach呢，哪有这么好的事	You want peach, where is such a good thing?	你想屁吃呢，哪有这么好的事	You want to piss, where is this good thing?	you're dreaming, how can something that good happen
B-HOM-024	HOM	86.62	72.70	-13.92	50.96	64.89	13.92	0	0	0	别虾扯蛋了，老师说的都是真的吗	别胡说,老师说的都是真的。	别瞎扯淡了，老师说的都是真的吗	Don't lie, everything you say is true.	stop talking BS, is what the teacher said even true
B-HOM-025	HOM	44.15	48.08	3.93	43.94	44.05	0.11	0	0	0	先报上自己的分数啊搞辣菜	先报上自己的分数啊搞辣菜	先报上自己的分数啊搞拉踩	你先报上自己的分数啊,踩踩。	dropping your score first before throwing shade smh
B-HOM-026	HOM	51.81	79.57	27.76	49.92	65.09	15.17	0	0	0	蚌埠住了，腾讯这泄密处理速度也太快了吧	蚌埠住了,腾讯这泄密处理速度也太快了吧	绷不住了，腾讯这泄密处理速度也太快了吧	I'm exhausted, the speed of Tmall's data breach processing is too fast.	I can't hold it in anymore, Tencent's speed in handling this leak is just too fast
B-HOM-027	HOM	78.53	79.10	0.58	75.26	73.89	-1.37	0	0	0	嗷利给，西班牙第一了	Okay, Spain is first.	奥利给，西班牙第一了	Okay, Spain is first.	Aigoo Spain took first place let's gooo
B-HOM-028	HOM	68.68	83.07	14.39	44.35	71.40	27.05	0	0	0	这配置针不戳，性价比拉满	This set is very good value for money.	这配置真不错，性价比拉满	This is a great set up, great value.	This setup slaps, value for money off the charts
B-HOM-029	HOM	30.13	37.15	7.01	35.46	43.91	8.45	0	0	0	赛里木湖这操作针不戳啊，景区打人还能辞退就完事了？	这操作针不戳啊,景区打人还能辞退就完事了?	赛里木湖这操作真不错啊，景区打人还能辞退就完事了？	这操作真不错啊,景区打人还能辞退就完事了?	Sarim Lake's handling is just great, beating people at a scenic spot and just firing them is that it?
B-HOM-030	HOM	35.69	94.62	58.94	41.26	80.21	38.95	0	100	100	蚌埠住了，这也太好笑了吧	蚌埠住,这真是太好了吧!	绷不住了，这也太好笑了吧	I can't hold it, this is too funny.	bruh I can't hold it in this is too funny lmao
B-HOM-031	HOM	81.20	83.55	2.35	56.94	64.76	7.82	0	0	0	卧槽317万年终奖就这么没了？	Wow, 317 million dollars?	我操317万年终奖就这么没了？	Is my 317 million winnings gone?	Wtf, 3.17 million year-end bonus just gone like that?
B-HOM-032	HOM	35.22	83.97	48.75	30.36	62.16	31.80	0	0	0	你就耗子尾汁吧，别折腾了	You're going to have to pay for it.	你就好自为之吧，别折腾了	You're okay, don't bother me.	watch yourself bro stop messing around
B-HOM-033	HOM	79.53	78.12	-1.41	56.17	55.58	-0.58	0	0	0	王虹这波属实深藏blue了，拿完奖还这么低调	王虹这个波真是深藏不露,拿完奖还这么低调。	王虹这波属实深藏不露了，拿完奖还这么低调	王虹这个波真的是深藏不露了,拿完奖还这么低调。	Wang Hong has truly been hiding her talents, so low-key after winning the award
B-HOM-034	HOM	75.35	95.11	19.75	47.80	76.70	28.91	0	0	0	蚌埠住了这也太搞笑了	I'm laughing at this.	绷不住了这也太搞笑了	I can't stand it, this is too funny.	can't hold it in anymore this is way too funny fr
B-HOM-035	HOM	74.34	83.15	8.81	51.63	69.61	17.98	0	0	0	看到50亿离婚案的消息我直接蓝瘦香菇	When I saw the news of the divorce of $50 million, I was immediately stunned.	看到50亿离婚案的消息我直接难受想哭	I was shocked to see the news of the divorce of $50 million.	Seeing the news about the 5 billion divorce case, I'm so sad I could cry
B-HOM-036	HOM	56.25	91.20	34.94	45.12	82.50	37.38	0	0	0	针不戳，这个视频做得真好	没有一点点的刺痛,这个视频做得很好。	真不错，这个视频做得真好	Very good, this video is really good.	not bad this video is actually fire
B-HOM-037	HOM	63.04	91.51	28.47	53.16	68.17	15.01	0	0	0	这景区管理duck不必，7个人打一个司机	The park management duck does not need, 7 people to hit a driver.	这景区管理大可不必，7个人打一个司机	This park management is not necessary, 7 people beat a driver.	This scenic area management is totally unnecessary, 7 people beating one driver
B-HOM-038	HOM	98.98	99.53	0.55	57.40	83.90	26.50	100	0	-100	这个颜色灰常好看	This color is really nice.	这个颜色非常好看	This color looks great.	this color looks really good ngl
B-HOM-039	HOM	75.07	91.18	16.11	46.01	71.14	25.14	0	0	0	腾讯这波操作属于是虾仁猪心了	This move by Alibaba is a very shallow one.	腾讯这波操作属于是杀人诛心了	This move by Tencent is a murder of innocents.	Tencent's move this time is truly adding insult to injury
B-HOM-040	HOM	83.84	84.65	0.80	56.53	61.84	5.31	0	0	0	有内味了，就是这个感觉	It's got a flavor, that's the feeling.	有那味了，就是这个感觉	It has that smell, that's the feeling.	got that vibe this is the feeling
B-HOM-041	HOM	63.02	71.22	8.20	46.89	50.56	3.67	0	0	0	泄密被辞退永不录用，这员工只能耗子喂汁了	泄密被辞退永不录用,这员工只能耗子喂汁了。	泄密被辞退永不录用，这员工只能好自为之了	泄密被辞退永不录用,这员工只能好自为之了。	Fired for leaking and never to be rehired, this employee better watch out
B-HOM-042	HOM	98.15	95.89	-2.26	75.49	80.75	5.27	0	0	0	这部剧的女主造型好康	The actress in this show is very pretty.	这部剧的女主造型好看	The actress in this show is pretty.	the female lead's look in this drama is gorgeous
B-HOM-043	HOM	36.53	68.62	32.10	32.05	36.72	4.66	0	0	0	耗子尾汁，好自为之吧	你自己做吧,不要再问我了。	好自为之，好自为之吧	好自为之,好自为之吧!	Learn your lesson and shape up.
B-HOM-044	HOM	84.82	89.56	4.74	50.35	81.87	31.51	0	0	0	这个操作太虾仁了	This is a very stupid operation.	这个操作太吓人了	This operation is too scary.	this play is straight up terrifying
B-HOM-045	HOM	68.30	68.94	0.64	65.99	59.78	-6.21	0	100	100	中国女排这波直接丸辣，美国队不服不行	China Women's Team's strike was absolutely sharp, the American team was unable to resist.	中国女排这波直接完啦，美国队不服不行	China Women's Volleyball team is finished, the US team is not satisfied.	China's women's volleyball team is done for this time, the US team has to admit defeat
B-HOM-046	HOM	75.59	99.16	23.57	69.14	81.10	11.96	0	100	100	鸭力好大，快要顶不住了	The chicken is so strong that it's almost impossible to resist.	压力好大，快要顶不住了	The pressure is too high, I'm about to give up.	the pressure is so high can't hold on anymore
B-HOM-047	HOM	82.73	100.00	17.27	28.08	87.99	59.91	0	100	100	窝五碎！！！	你好!	我五岁！！！	I'm five years old!!!	I'm five years old!!!
B-HOM-048	HOM	79.08	74.92	-4.16	66.16	69.66	3.50	100	100	0	赛里木湖这事整得灰常离谱	The entire thing about the Lake Sarika is very strange.	赛里木湖这事整得非常离谱	The whole thing about the lake is very out of order.	The Sarim Lake incident is really outrageous
B-HOM-049	HOM	91.76	91.13	-0.62	83.66	84.98	1.33	0	0	0	看完这帖子我直接笑嘻了	After reading this post, I laughed out loud.	看完这帖子我直接笑死了	I laughed out loud when I read this post.	after reading this post I'm dead lmao
B-HOM-050	HOM	85.38	97.24	11.86	63.76	85.87	22.11	0	100	100	看完这个视频我蕉绿了	After watching this video, I turned green.	看完这个视频我焦虑了	After watching this video, I got anxious.	after watching this vid I'm straight up anxious
B-HOM-051	HOM	52.07	92.71	40.63	58.47	80.73	22.25	0	0	0	看完女排比赛我直接鸭梨山大	After watching the women's team game, I went straight to the Yakitori Sushi Bar.	看完女排比赛我直接压力山大	After watching the women's team game, I felt very stressed.	After watching the women's volleyball match, I'm under enormous pressure
B-HOM-052	HOM	52.92	57.32	4.40	42.35	67.62	25.28	0	0	0	笑鼠了！一会抛梗一会接梗	笑鼠了!一会抛梗一会接梗	笑死了！一会抛梗一会接梗	I laughed so hard! One joke, the next.	dying of laughter! one sec they set up the joke next sec they're playing along
B-HOM-053	HOM	67.30	72.02	4.72	55.16	63.73	8.57	100	0	-100	测评娃哈哈高透史莱姆好好康	Review of Wahoo Go-Through Slime Good Health	测评娃哈哈高透史莱姆好好看	评测娃哈哈高透史莱姆好好看	reviewing Wahaha's crystal clear slime it looks so good
B-HOM-054	HOM	80.70	92.51	11.82	50.60	83.54	32.94	0	0	0	窝巢，这也太厉害了吧	窝巢,这真是太棒了吧!	我操，这也太厉害了吧	Wow, that's really cool.	wtf this is too insane bruh
B-HOM-055	HOM	71.80	97.40	25.59	62.61	84.93	22.32	0	100	100	笑的想鼠	laughing mouse	笑的想死	I laughed so hard I could die.	laughing till I die
B-HOM-056	HOM	86.20	72.02	-14.18	58.07	66.47	8.40	0	0	0	这里是孙吧忏悔室，一人忏悔一件你觉得最厨神的事	Here is the confessional room, one person confesses one of the most wicked things they have done.	这里是孙吧忏悔室，一人忏悔一件你觉得最畜生的事	Here is the confessional room, one person confesses one of the most fucking things they have done.	welcome to Sun Bar confessional drop your most savage moment
B-HOM-057	HOM	93.40	88.39	-5.01	60.51	68.02	7.51	0	0	0	关于玉玉症表妹喜欢上我的故事	About my cousin's love for me	关于抑郁症表妹喜欢上我的故事	About my aunt's love for me	the story of how my depressed cousin fell for me
B-HOM-058	HOM	92.14	94.45	2.31	70.26	76.49	6.24	0	0	0	这是我女朋友 羡慕吗笑抽们🤣	This is my girlfriend, are you jealous?	这是我女朋友 羡慕吗小丑们🤣	This is my girlfriend, are you jealous?🤣	this is my gf. jealous you clowns? 🤣
B-HOM-059	HOM	68.33	35.23	-33.10	51.63	48.93	-2.70	0	0	0	麻辣烫我只认元娘娘，口味多好7	麻辣烫我只认元娘娘,口味多好7	麻辣烫我只认元娘娘，口味多好吃	I only know the original flavor, how delicious!	I only trust Yuan Niangniang for malatang it's so good
B-HOM-060	HOM	57.57	83.06	25.49	48.51	56.90	8.39	0	0	0	可爱的小香猪变成了温暖的答辩	可爱的小香猪变成了温暖的答辩	可爱的小香猪变成了温暖的大便	The cute little bunny became warm stools.	a cute little guinea pig turned into warm crap
B-HOM-061	HOM	82.18	98.54	16.35	72.53	81.91	9.38	100	100	0	我要笑亖了卧槽	I'm laughing out loud.	我要笑死了卧槽	I'm going to die from laughing.	I'm gonna die laughing oh shit
B-HOM-062	HOM	77.52	75.70	-1.82	42.28	44.94	2.66	0	0	0	时间长了搞亖你	时间长了,你就会发现	时间长了搞死你	时间太长了,你死定了。	I'll work you to death over time
B-HOM-063	HOM	71.08	74.87	3.78	45.90	45.60	-0.30	0	0	0	笑亖了家人们谁懂啊	Who understands?	笑死了家人们谁懂啊	Who understands?	dying of laughter fam who understands
B-HOM-064	HOM	93.13	98.15	5.02	63.28	87.63	24.35	0	0	0	她居然紫砂了	She turned purple.	她居然自杀了	She actually committed suicide.	she actually offed herself
B-HOM-065	HOM	31.18	43.99	12.81	63.24	69.48	6.23	0	0	0	小哥：我真妹骗人！！我真给白衣女鬼送过餐！！你不知道哟！我魂都快没了，那餐是一点都没撒！！没办法，这就是哥的实力！	小哥:我真妹骗人!!我真给白衣女鬼送过餐!!你不知道哟!我魂都快没了,那餐是一点都没撒!!没办法,这就是哥的实力!	小哥：我真没骗人！！我真给白衣女鬼送过餐！！你不知道哟！我魂都快没了，那餐是一点都没撒！！没办法，这就是哥的实力！	小哥:我真的没骗人!!我真的给白衣女鬼送过餐!!你不知道哟!我魂都快没了,那餐是一点都没撒!!没办法,这就是哥的实力!	Bro: I seriously didn't lie!! I really delivered food to the girl ghost in white!! You don't know! I nearly lost my soul, not a single drop spilled on that delivery! No choice, this is bro's skill!
B-HOM-066	HOM	44.29	79.38	35.09	41.27	50.68	9.41	0	0	0	博主成功把中二拍成沙子了	The blogger successfully turned a secondary school into a sandbox.	博主成功把中二拍成傻子了	The blogger successfully made a teenager fool.	The blogger successfully made the edgy act look like a fool
B-HOM-067	HOM	70.82	75.29	4.48	59.24	71.05	11.81	0	0	0	肺雾才需要爱情，神都是孤独的	Only a smoke needs love, and God is lonely.	废物才需要爱情，神都是孤独的	Only waste needs love, God is lonely.	Only the weak yearn for love; gods are destined to be alone.
B-HOM-068	HOM	77.06	98.37	21.31	53.80	83.90	30.10	0	0	0	我在学校哭别人鸟都不鸟我	I was crying in school, but no one else was crying.	我在学校哭别人理都不理我	I cried in school, no one listened to me.	I cried at school and nobody even paid attention to me
B-HOM-069	HOM	17.45	17.45	0.00	31.15	31.15	0.00	0	0	0	现场偷挖被抓,夺笋呐!	挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖	现场偷挖被抓,多损呐!	挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖挖	Caught digging secretly on site, so savage!
B-HOM-070	HOM	73.12	85.39	12.28	38.41	61.94	23.54	0	0	0	这个特效针不戛！	This effect is not working!	这个特效真不尬！	This effect is really funny!	This special effect is really not cringe!
B-HOM-071	HOM	36.30	47.76	11.46	23.18	38.78	15.60	0	0	0	要泥寡,雨女无瓜!	要么死,要么活!	要你管,与你无关!	You're responsible for it.	Mind your own business, it's none of your business!
B-HOM-072	HOM	61.65	93.10	31.45	57.85	81.13	23.28	0	0	0	依托答辩是什么意思	What is the meaning of a thesis?	一坨大便是什么意思	What does a lump of snot mean?	What does 'a pile of shit' mean?
B-HOM-073	HOM	70.01	85.38	15.37	36.25	37.76	1.51	0	0	0	哈哈哈哈哈哈哈夺笋呐	哈哈哈哈哈哈夺笋呐	哈哈哈哈哈哈哈多损呐	哈哈哈哈哈哈多亏了你	hahahahaha so mean lol
B-HOM-074	HOM	71.98	56.01	-15.97	65.27	44.30	-20.96	0	0	0	“雨女无瓜”这么好笑吗是挺好笑的	"Really? ""雨女无瓜"" is so funny?"	“与你无关”这么好笑吗是挺好笑的	It's funny.	Is 'none of your business' really that funny? It is pretty funny
B-HOM-075	HOM	37.26	83.44	46.18	56.19	82.64	26.45	0	100	100	还有给	I'll give you a few more.	还有gay	There are also gays.	Also got gay vibes
