uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
A-HOM-001	HOM	42.55	78.13	35.57	44.61	76.62	32.01	0	0	0	广0王，我也是	I'm a king, too.	广陵王，我也是	King Guangling, I am also one of you.	Prince of Guangling, same here.
A-HOM-002	HOM	98.59	100.00	1.41	69.36	85.38	16.02	0	100	100	3Q 祝你新年快乐 🎊🐍	Happy New Year! 🎊🐍	谢谢 祝你新年快乐 🎊🐍	Thanks, Happy New Year 🎊🐍	Thanks! Happy New Year 🎊🐍
A-HOM-003	HOM	89.98	87.14	-2.84	81.09	87.22	6.13	0	0	0	我的玛雅太美了	My Maya is too beautiful.	我的妈呀太美了	My mother is so beautiful.	Oh my God, mine is so beautiful!
A-HOM-004	HOM	40.32	78.62	38.30	42.96	61.93	18.98	0	0	0	有顺风顺水顺财神的郝性头像吗？	Do you have a picture of a happy fortune?	有顺风顺水顺财神的郝姓头像吗？	Do you have a picture of the Ho family with the lucky fortune?	Does anyone have a profile picture with the surname Hao that brings smooth sailing and the God of Wealth?
A-HOM-005	HOM	15.62	93.74	78.12	30.18	66.80	36.63	0	0	0	➗25家政 15洗衣  10洗车	Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services:	出售25家政 15洗衣  10洗车	Selling 25 housekeeping 15 laundry 10 car wash	Selling: housekeeping 25, laundry 15, car wash 10.
A-HOM-006	HOM	75.72	96.86	21.14	69.21	83.94	14.73	0	0	0	马牙，谢谢劳斯🥺❤️❤️❤️	Thank you, Louis.	妈呀，谢谢老师🥺❤️❤️❤️	Oh, thank you teacher 🥺❤️❤️❤️	Oh my God, thank you, teacher 🥺❤️❤️❤️
A-HOM-007	HOM	94.90	87.74	-7.16	62.71	78.52	15.81	0	0	0	似吧我不拦你	I'm not stopping you.	死吧我不拦你	Fuck you, I won't stop you.	Go die if you want—I won't stop you.
A-HOM-008	HOM	92.83	96.98	4.15	29.83	37.36	7.54	0	0	0	哈雷哈雷，欢迎欢迎热烈欢迎	你好,欢迎来到!	你好你好，欢迎欢迎热烈欢迎	你好,欢迎来到!	Hello, hello—a very warm welcome!
A-HOM-009	HOM	39.38	77.10	37.72	51.03	58.35	7.32	0	0	0	国际大厦比	The International Building is taller.	国际大傻逼	国际大傻逼	A world-class dumbass.
A-HOM-010	HOM	49.12	52.08	2.96	36.13	40.63	4.50	0	0	0	啊啊啊啊给青兰ee吃	啊啊啊啊给青兰ee吃	啊啊啊啊给青兰阿姨吃	啊啊啊啊给青兰阿姨吃	Give Auntie Qinglan something to eat!
A-HOM-011	HOM	52.04	74.97	22.93	54.82	74.33	19.51	0	0	0	啊啊啊啊啊豆儿康康我	啊啊啊啊啊豆儿康康我	啊啊啊啊啊豆儿看看我	啊啊啊啊啊豆儿,看看我	Dou'er, take a look at me!!!
A-HOM-012	HOM	83.82	97.36	13.53	55.08	84.53	29.45	0	100	100	蟹蟹宝宝夸奖	蟹蟹宝宝赞美	谢谢宝宝夸奖	Thank you for the compliment, baby.	Thanks, babe, for the compliment.
A-HOM-013	HOM	89.87	100.00	10.13	87.26	86.41	-0.86	0	100	100	啊！谢谢劳斯！	Oh! Thanks, Ross!	啊！谢谢老师！	Oh! Thank you teacher!	Ah, thank you, teacher!
A-HOM-014	HOM	67.44	53.85	-13.59	51.10	55.47	4.37	0	0	0	大鸡毛（大金毛）	大鸡毛(大金毛)	大金毛（大金毛）	大金毛(大金毛)	A big golden retriever (a big golden retriever).
A-HOM-015	HOM	95.74	98.77	3.03	82.04	85.19	3.15	0	0	0	每个月不用给chatgpt交20刀了	You don't have to pay $20 a month to ChatGPT.	每个月不用给chatgpt交20美元了	You don't have to pay $20 a month to ChatGPT anymore.	Now I don’t have to pay ChatGPT $20 a month.
A-HOM-017	HOM	79.87	99.70	19.84	67.16	77.47	10.31	0	100	100	这就是史	This is a story.	这就是屎	This is shit.	This is literally shit.
A-NEO-253	NEO	83.09	82.16	-0.93	76.44	76.08	-0.35	0	0	0	知道为什么他父母接受他是0还配合拍视频吗 原因竟是...	Do you know why his parents accepted him and agreed to shoot a video? The reason was...	知道为什么他父母接受他是受还配合拍视频吗 原因竟是...	Do you know why his parents accepted him and agreed to film a video? The reason was...	Do you know why his parents accept that he’s a bottom and even cooperate in making videos? The reason turns out to be...
A-HOM-019	HOM	47.67	51.97	4.31	50.52	60.00	9.48	0	0	0	固体香薰挂！！有7.8个香味都好特别 不是那种浓郁型的，挂在衣柜里淡淡的香灰常舒心！每次来小韩都要囤一堆！！！！	固体香薰挂!!有7.8个香味都好特别 不是那种浓郁型的,挂在衣柜里淡淡的香灰常舒心!每次来小韩都要囤一堆!!!!	固体香薰挂！！有7.8个香味都好特别 不是那种浓郁型的，挂在衣柜里淡淡的香非常舒心！每次来小韩都要囤一堆！！！！	固体香薰挂!!有7.8个香味都好特别 不是那种浓郁型的,挂在衣柜里淡淡的香非常舒心!每次来小韩都要囤一堆!!!!	Solid fragrance hangers!! There are seven or eight scents, and every one is so unique. They’re not overpowering; hanging one in the wardrobe leaves a soft scent that feels incredibly soothing! I stock up on a bunch every time I visit Xiao Han!!!!
A-PYA-001	PYA	77.77	91.43	13.66	47.25	68.84	21.59	0	100	100	小窗口dd你吧	小窗口dd你吧	小窗口联系你吧	Please contact me in a small window.	I'll DM you.
A-PYA-002	PYA	68.82	73.29	4.47	50.64	75.80	25.15	0	0	0	350 q安	安 350 q	350 QQ安卓区	350 QQ安卓区	Offering ¥350 on the QQ Android server.
A-PYA-003	PYA	85.82	99.69	13.87	82.68	87.50	4.83	0	100	100	我喜欢你 CPDD	I like you CPDD.	我喜欢你 想和你谈恋爱	I like you and I want to date you.	I like you—want to date?
A-PYA-004	PYA	69.04	86.47	17.43	78.18	82.69	4.52	0	0	0	好可爱cpdd...	好可愛cpdd...	好可爱想找对象...	好可愛想找個伴侶...	So cute—looking for someone to date...
A-PYA-005	PYA	69.99	82.20	12.21	44.27	72.53	28.27	0	0	0	Chuan搭🔴⚪️红白配	Chuan搭🔴⚪️红白配	穿搭🔴⚪️红白配	穿搭🔴⚪️红白配	Outfit 🔴⚪️ red and white.
A-PYA-006	PYA	87.59	89.07	1.49	80.96	82.47	1.51	100	0	-100	xhs是得加个翻译功能了	xhs should add a translation function.	小红书是得加个翻译功能了	小红书应该增加翻译功能了。	Xiaohongshu really needs to add a translation feature.
A-PYA-007	PYA	68.92	62.06	-6.86	55.64	56.80	1.15	100	0	-100	愿逆风如解意，蛇年多挣RMB	祝你逆风顺水,蛇年多挣RMB。	愿逆风如解意，蛇年多挣人民币	祝你逆风顺水,蛇年多挣人民币。	May even the headwinds understand your wishes, and may you make lots of RMB in the Year of the Snake.
A-PYA-008	PYA	73.56	74.25	0.69	77.44	64.90	-12.54	100	0	-100	说 WOC 和 NB 欢迎来中国旅游和交朋友	Say WOC and NB welcome to visit China and make friends.	说 我操 和 NB 欢迎来中国旅游和交朋友	Say hi and NB, welcome to visit China and make friends.	Just say “holy crap” and “awesome.” Welcome to China—come travel and make friends!
A-PYA-009	PYA	35.82	41.05	5.23	34.80	34.76	-0.04	100	0	-100	还是得看对口白话 对口白话兄弟yyds	还是得看对口白话 对口白话兄弟yyds	还是得看对口白话 对口白话兄弟永远的神	还是得看对口白话 对口白话兄弟永远的神	You’ve got to watch Duikou Baihua. The Duikou Baihua guys are the GOAT.
A-PYA-010	PYA	87.58	95.27	7.69	53.46	78.94	25.48	0	0	0	一打开小红书发现变成国际版le	打开小红书发现变成国际版	一打开小红书发现变成国际版了	打开小红书发现变成了国际版了。	I opened Xiaohongshu and found it had turned into an international app.
A-PYA-011	PYA	64.85	68.73	3.87	58.99	56.69	-2.30	0	0	0	💙15w左右女生建议入手的BBA二手车	💙15w左右女生建议入手的BBA二手车	💙15万左右女生建议入手的BBA二手车	💙15万左右女生建议入手的BBA二手车	💙 Recommended used BBA cars for women with a budget of around ¥150,000.
