pair	scope	metric	n	mean_hi	mean_lo	diff	ci_lo	ci_hi	p_boot
a2-a0	HOM	xcomet	17	79.60	77.21	2.39	-2.56	9.21	0.4340
a2-a1	HOM	xcomet	17	79.60	79.13	0.47	-3.91	5.13	0.8120
a3-a2	HOM	xcomet	17	85.39	79.60	5.79	0.50	12.19	0.0300
a4-a3	HOM	xcomet	17	90.59	85.39	5.20	0.76	10.84	0.0140
a2-a0	PYA	xcomet	15	75.17	77.08	-1.90	-8.98	4.47	0.6260
a2-a1	PYA	xcomet	15	75.17	78.06	-2.89	-7.24	0.84	0.1350
a3-a2	PYA	xcomet	15	77.69	75.17	2.51	-1.20	6.51	0.1660
a4-a3	PYA	xcomet	15	84.00	77.69	6.31	0.45	13.38	0.0250
a2-a0	NEO	xcomet	191	78.52	78.89	-0.38	-1.64	0.87	0.5300
a2-a1	NEO	xcomet	191	78.52	78.98	-0.46	-1.92	0.99	0.5260
a3-a2	NEO	xcomet	191	80.87	78.52	2.35	0.70	3.92	0.0030
a4-a3	NEO	xcomet	191	85.71	80.87	4.84	3.24	6.54	0.0000
a2-a0	MIX	xcomet	44	80.64	83.21	-2.57	-6.01	0.41	0.1070
a2-a1	MIX	xcomet	44	80.64	82.53	-1.90	-4.64	0.57	0.1290
a3-a2	MIX	xcomet	44	83.17	80.64	2.54	-0.20	6.06	0.0860
a4-a3	MIX	xcomet	44	87.28	83.17	4.11	1.33	7.17	0.0040
