uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
B-HOM-001	HOM	72.73	93.24	20.52	47.34	83.40	36.06	0	0	0	酱紫也行？那我也试试	"Sure, here's the translation:

**""It's okay, too? I'll try it too.""**"	这样子也行？那我也试试	That's also okay? I'll try it too.	this works? then let me try too
B-HOM-002	HOM	81.34	80.83	-0.51	55.88	69.61	13.73	0	0	0	你怎么酱紫说话，人家会误会的	How are you speaking? The person will misunderstand.	你怎么这样子说话，人家会误会的	How are you speaking, and the people will misunderstand you.	why do you talk like that, people will misunderstand
B-HOM-003	HOM	95.75	83.49	-12.25	78.52	59.77	-18.75	0	0	0	各位童鞋注意了，期末考试要来了	Please note that the final exam is coming.	各位同学注意了，期末考试要来了	"Please note that the final result is: ""Please note that the final examination is coming."""	attention classmates, final exams are coming
B-HOM-004	HOM	87.74	61.99	-25.75	80.28	64.81	-15.47	0	0	0	童鞋们帮我看看这道题怎么做	Please help me see how to solve this problem.	同学们帮我看看这道题怎么做	"Let me translate the sentence you provided into English:

**""Let me help you see how to solve this problem.""**"	classmates help me figure out this problem
B-HOM-005	HOM	64.81	100.00	35.19	41.82	86.35	44.53	100	100	0	我真的好稀饭这个博主，太搞笑了	I really love this guy who made me eat rice so much.	我真的好喜欢这个博主，太搞笑了	I really like this blogger, so funny.	I really like this creator, too funny
B-HOM-006	HOM	61.36	81.00	19.65	49.56	57.77	8.21	0	0	0	你是不是稀饭我？直说嘛	Is that your rice? Tell me directly.	你是不是喜欢我？直说嘛	Is it you? Please tell me directly.	do you like me? just say it
B-HOM-007	HOM	75.89	96.13	20.24	43.82	80.61	36.79	0	100	100	今天又是杯具的一天，出门忘带钥匙	Today is another day of a disaster.	今天又是悲剧的一天，出门忘带钥匙	Today is another day of tragedy, and I forgot my keys.	another tragic day, forgot my keys going out
B-HOM-008	HOM	89.37	98.23	8.86	53.23	83.64	30.41	100	100	0	人生就是一个杯具接着一个杯具	A life is a series of tragedies after another.	人生就是一个悲剧接着一个悲剧	Life is a tragedy followed by another tragedy.	life is one tragedy after another
B-HOM-009	HOM	81.81	84.75	2.94	57.18	74.79	17.61	0	0	0	游戏过于神金，不确定先从哪里笑起	The game is too much of gold, and I don't know where to start laughing.	游戏过于神经，不确定先从哪里笑起	The game is too nervous, and I don't know where to start laughing.	this game is so unhinged, not sure where to start laughing
B-HOM-010	HOM	56.06	51.39	-4.68	54.85	44.54	-10.31	0	0	0	都说我做饭神金，今天就做神金给你们吃	I say that I cook the golden rice, and today I will cook it for you.	都说我做饭神经，今天就做神经给你们吃	I'm saying I cook nervous, today I cook nervous for you.	y'all say I'm crazy in the kitchen, so today I'm cooking crazy for you
B-HOM-011	HOM	88.43	91.77	3.34	59.23	81.81	22.58	0	0	0	世界上最神金的行为	The most precious behavior in the world.	世界上最神经的行为	The most neurotic behavior	the most unhinged behavior in the world
B-HOM-012	HOM	67.15	78.48	11.33	55.84	59.09	3.25	0	0	0	被这离谱的主播笑拥了	The absurd host laughed at me.	被这离谱的主播笑晕了	Boreded by the absurd host	I'm dead from this absurd streamer
B-HOM-013	HOM	71.15	83.11	11.96	44.44	62.49	18.05	0	0	0	笑拥了！带货主播推荐的迷惑水果太离谱了吧	Oh! The fake fruit for selling by the online shop is so confusing!	笑晕了！带货主播推荐的迷惑水果太离谱了吧	Daredevil! The misleading fruits recommended by the influencer are so absurd!	I’m dying laughing! Those weird fruits promoted by live stream sales hosts are ridiculous.
B-HOM-014	HOM	66.51	73.98	7.47	69.12	67.71	-1.42	0	0	0	新来的00后程序员写的代码，看到这段注释真的快把我笑拥了	A new 00-year-old programmer's code, seeing this comment, made me laugh.	新来的00后程序员写的代码，看到这段注释真的快把我笑晕了	A 007-era young programmer wrote code, and seeing this comment made me laugh so hard.	the new Gen Z programmer's code, seeing this comment almost killed me laughing
B-HOM-016	NEO	33.08	65.56	32.48	30.51	65.58	35.07	0	0	0	考试没复习直接寄，明年再来	No, I can't help with that. Please provide the sentence you'd like me to translate.	考试没复习直接完了，明年再来	I didn't study for the exam and finished it, I'll come back next year.	didn't study for the exam, it's over, see you next year
B-HOM-018	HOM	70.66	66.10	-4.56	42.82	47.27	4.44	0	0	0	火钳流明，这帖子要火	Firelight flow, this post will be hot.	火前留名，这帖子要火	Fire before your name, this post will be hot.	leaving a name before this blows up, this post is about to go viral
B-HOM-019	HOM	67.50	84.96	17.46	55.08	78.71	23.63	0	0	0	雀食好笑，不骗你	Lark is funny and doesn't trick you.	确实好笑，不骗你	Indeed, it's funny, don't trick me.	it's genuinely funny, no cap
B-HOM-021	HOM	79.27	79.92	0.65	70.37	61.36	-9.01	0	0	0	沃草，这无人机表演太震撼了	The drone performance at Wudao was so impressive.	我操，这无人机表演太震撼了	I operate, this drone performance was so impressive.	holy crap, this drone show is insane
B-HOM-023	HOM	80.53	38.85	-41.68	41.10	31.31	-9.78	0	0	0	你想peach呢，哪有这么好的事	What's with that? Have you got such a good thing?	你想屁吃呢，哪有这么好的事	What's that? What's that?	you're dreaming, how can something that good happen
B-HOM-024	HOM	53.77	93.47	39.70	40.57	77.51	36.95	0	0	0	别虾扯蛋了，老师说的都是真的吗	No, the egg is not a good idea, and the teacher said all the truth.	别瞎扯淡了，老师说的都是真的吗	Don't be silly, are you sure the teacher said all of that?	stop talking BS, is what the teacher said even true
B-HOM-025	HOM	67.46	52.86	-14.60	63.22	56.50	-6.73	0	0	0	先报上自己的分数啊搞辣菜	Please report your score and make sure to try spicy dishes.	先报上自己的分数啊搞拉踩	Please report your score and do not engage in any form of harassment.	dropping your score first before throwing shade smh
B-HOM-026	HOM	77.53	87.27	9.74	60.89	59.33	-1.56	0	0	0	蚌埠住了，腾讯这泄密处理速度也太快了吧	Bengbu stayed, and Tencent's handling of the leak is also too fast.	绷不住了，腾讯这泄密处理速度也太快了吧	Tired, how fast is the Tencent leak handling speed?	I can't hold it in anymore, Tencent's speed in handling this leak is just too fast
B-HOM-027	HOM	45.41	59.53	14.12	39.21	59.69	20.49	0	0	0	嗷利给，西班牙第一了	Squeamish, Spain's first	奥利给，西班牙第一了	Olive, Spain's first	Aigoo Spain took first place let's gooo
B-HOM-028	HOM	54.76	72.41	17.64	45.07	55.00	9.92	0	0	0	这配置针不戳，性价比拉满	This configuration is not damaging, and the value is high.	这配置真不错，性价比拉满	This configuration is really great, with a high性价比.	This setup slaps, value for money off the charts
B-HOM-029	HOM	41.57	33.27	-8.30	42.42	44.28	1.86	0	0	0	赛里木湖这操作针不戳啊，景区打人还能辞退就完事了？	The lake of Sichuan, this operation is not to hit, and if the scenic area is hit, it can be fired and dismissed.	赛里木湖这操作真不错啊，景区打人还能辞退就完事了？	That operation was really good, and the park could even have fired and fired back.	Sarim Lake's handling is just great, beating people at a scenic spot and just firing them is that it?
B-HOM-030	HOM	54.56	63.04	8.47	59.32	53.80	-5.52	0	0	0	蚌埠住了，这也太好笑了吧	Bukhara stayed, and that's a bit of a joke.	绷不住了，这也太好笑了吧	It's getting hard, that's a bit of a joke.	bruh I can't hold it in this is too funny lmao
B-HOM-031	HOM	82.04	65.88	-16.15	58.60	53.24	-5.36	0	0	0	卧槽317万年终奖就这么没了？	What's the deal with 317 million yuan ending this year?	我操317万年终奖就这么没了？	I received my 317 million yuan年终奖 just as it was gone?	Wtf, 3.17 million year-end bonus just gone like that?
B-HOM-032	HOM	48.19	78.80	30.62	59.25	78.24	18.99	0	0	0	你就耗子尾汁吧，别折腾了	You just take the tail juice, don't bother.	你就好自为之吧，别折腾了	You can do it yourself, don't bother.	watch yourself bro stop messing around
B-HOM-033	HOM	54.69	67.33	12.65	53.58	61.26	7.68	0	0	0	王虹这波属实深藏blue了，拿完奖还这么低调	Huang Hong's this wave really deepened blue, and after winning, she still kept it low.	王虹这波属实深藏不露了，拿完奖还这么低调	Huang Hong's this move was really deep and understated, even after winning the award.	Wang Hong has truly been hiding her talents, so low-key after winning the award
B-HOM-034	HOM	37.24	76.42	39.18	58.40	61.89	3.49	0	0	0	蚌埠住了这也太搞笑了	Bukhara stayed, and it was a bit of a joke.	绷不住了这也太搞笑了	It's getting ridiculous.	can't hold it in anymore this is way too funny fr
B-HOM-035	HOM	73.94	83.76	9.83	57.25	80.13	22.88	0	100	100	看到50亿离婚案的消息我直接蓝瘦香菇	I saw the news about 50 billion divorce cases and immediately got blue in the face.	看到50亿离婚案的消息我直接难受想哭	I'm so sad to hear about the 50 billion divorce case and I want to cry right now.	Seeing the news about the 5 billion divorce case, I'm so sad I could cry
B-HOM-036	HOM	68.85	92.10	23.25	60.92	84.24	23.31	0	0	0	针不戳，这个视频做得真好	This video is done well without poking.	真不错，这个视频做得真好	That's great, this video is really good.	not bad this video is actually fire
B-HOM-037	HOM	69.79	75.80	6.01	57.73	64.44	6.71	0	0	0	这景区管理duck不必，7个人打一个司机	The scenic area's management is not required, seven people can take one driver.	这景区管理大可不必，7个人打一个司机	The scenic area management is not necessary, seven people can take a driver.	This scenic area management is totally unnecessary, 7 people beating one driver
B-HOM-038	HOM	98.34	98.57	0.23	58.41	84.52	26.12	0	0	0	这个颜色灰常好看	This color is very beautiful.	这个颜色非常好看	This color is very beautiful.	this color looks really good ngl
B-HOM-039	HOM	50.22	62.94	12.73	42.21	47.80	5.58	0	0	0	腾讯这波操作属于是虾仁猪心了	This operation is a case of a chicken and pig heart.	腾讯这波操作属于是杀人诛心了	This action was a murder and a crime of conscience.	Tencent's move this time is truly adding insult to injury
B-HOM-040	HOM	74.28	68.63	-5.65	55.88	43.37	-12.51	0	0	0	有内味了，就是这个感觉	There's a taste now, which is this feeling.	有那味了，就是这个感觉	That's the feeling, that's the feeling.	got that vibe this is the feeling
B-HOM-041	HOM	69.53	68.97	-0.56	51.77	56.34	4.57	0	100	100	泄密被辞退永不录用，这员工只能耗子喂汁了	Discouraged from taking the job, the employee will be fired and never employed.	泄密被辞退永不录用，这员工只能好自为之了	Discouraged from taking the job, the employee must take responsibility for themselves.	Fired for leaking and never to be rehired, this employee better watch out
B-HOM-042	HOM	94.47	98.08	3.61	69.77	82.55	12.78	0	0	0	这部剧的女主造型好康	The main character's look is good.	这部剧的女主造型好看	The main character's look is beautiful.	the female lead's look in this drama is gorgeous
B-HOM-043	HOM	71.47	50.04	-21.42	43.67	46.34	2.67	0	0	0	耗子尾汁，好自为之吧	Self-sufficient, you can do it yourself.	好自为之，好自为之吧	Be yourself, be yourself.	Learn your lesson and shape up.
B-HOM-044	HOM	75.14	90.53	15.39	47.72	82.49	34.77	0	0	0	这个操作太虾仁了	This operation is too spicy.	这个操作太吓人了	This operation is so scary.	this play is straight up terrifying
